task_id,office_type,task_type,model,seed,assembly,Q_single,Q_single_matched,Q_team,CTR_naive,CTR_matched,TR,call_ratio,team_token_overhead
t-DOC-H-03,document,high_coupling,deepseek-v4-flash,0,last,0.5,0.375,0.5,1.0,1.3333,1.3313,4.0,2348
t-DOC-H-03,document,high_coupling,deepseek-v4-flash,1,last,0.5,0.5,0.5,1.0,1.0,0.8387,4.0,-1634
t-DOC-H-03,document,high_coupling,deepseek-v4-flash,2,last,0.5,0.375,0.5,1.0,1.3333,1.1129,4.0,629
t-DOC-L-01,document,low_coupling,deepseek-v4-flash,0,blackboard,1.0,1.0,0.7917,0.7917,0.7917,2.2714,3.0,3537
t-DOC-L-01,document,low_coupling,deepseek-v4-flash,1,blackboard,1.0,1.0,1.0,1.0,1.0,2.6309,3.0,3283
t-DOC-L-01,document,low_coupling,deepseek-v4-flash,2,blackboard,1.0,1.0,0.7917,0.7917,0.7917,1.7933,3.0,2276
t-DOC-L-01,document,low_coupling,deepseek-v4-flash,0,concat,1.0,1.0,1.0,1.0,1.0,1.9367,3.0,2606
t-DOC-L-01,document,low_coupling,deepseek-v4-flash,1,concat,1.0,1.0,1.0,1.0,1.0,2.7854,3.0,3594
t-DOC-L-01,document,low_coupling,deepseek-v4-flash,2,concat,1.0,1.0,1.0,1.0,1.0,2.1328,3.0,3250
t-DOC-L-01,document,low_coupling,deepseek-v4-flash,0,integrator,1.0,1.0,1.0,1.0,1.0,5.5291,4.0,12600
t-DOC-L-01,document,low_coupling,deepseek-v4-flash,1,integrator,1.0,1.0,1.0,1.0,1.0,3.8768,4.0,5791
t-DOC-L-01,document,low_coupling,deepseek-v4-flash,2,integrator,1.0,1.0,1.0,1.0,1.0,3.5566,4.0,7335
t-DOC-L-01,document,low_coupling,deepseek-v4-flash,0,last,1.0,1.0,1.0,1.0,1.0,2.4123,3.0,3929
t-DOC-L-01,document,low_coupling,deepseek-v4-flash,1,last,1.0,1.0,1.0,1.0,1.0,2.6955,3.0,3413
t-DOC-L-01,document,low_coupling,deepseek-v4-flash,2,last,1.0,1.0,1.0,1.0,1.0,1.8243,3.0,2365
t-DOC-M-02,document,medium_coupling,deepseek-v4-flash,0,blackboard,0.7917,0.7917,0.5833,0.7368,0.7368,1.1716,3.0,893
t-DOC-M-02,document,medium_coupling,deepseek-v4-flash,1,blackboard,0.7917,0.7917,0.375,0.4737,0.4737,1.347,3.0,1288
t-DOC-M-02,document,medium_coupling,deepseek-v4-flash,2,blackboard,0.7917,0.7917,0.5833,0.7368,0.7368,2.6036,3.0,4227
t-DOC-M-02,document,medium_coupling,deepseek-v4-flash,0,concat,0.7917,0.7917,0.7917,1.0,1.0,1.467,3.0,2430
t-DOC-M-02,document,medium_coupling,deepseek-v4-flash,1,concat,0.7917,0.7917,0.7917,1.0,1.0,1.3798,3.0,1410
t-DOC-M-02,document,medium_coupling,deepseek-v4-flash,2,concat,0.7917,0.7917,0.7917,1.0,1.0,1.8228,3.0,2169
t-DOC-M-02,document,medium_coupling,deepseek-v4-flash,0,integrator,0.7917,0.7917,1.0,1.2631,1.2631,3.2773,4.0,11849
t-DOC-M-02,document,medium_coupling,deepseek-v4-flash,1,integrator,0.7917,0.7917,1.0,1.2631,1.2631,3.5978,4.0,9643
t-DOC-M-02,document,medium_coupling,deepseek-v4-flash,2,integrator,0.7917,0.7917,1.0,1.2631,1.2631,4.3687,4.0,8880
t-DOC-M-02,document,medium_coupling,deepseek-v4-flash,0,last,0.7917,0.7917,0.5833,0.7368,0.7368,1.3031,3.0,1577
t-DOC-M-02,document,medium_coupling,deepseek-v4-flash,1,last,0.7917,0.7917,0.5833,0.7368,0.7368,1.434,3.0,1611
t-DOC-M-02,document,medium_coupling,deepseek-v4-flash,2,last,0.7917,0.7917,0.5833,0.7368,0.7368,2.1388,3.0,3002
t-PROJ-H-03,project,high_coupling,deepseek-v4-flash,0,blackboard,0.5833,0.5833,0.375,0.6429,0.6429,1.4803,4.0,5451
t-PROJ-H-03,project,high_coupling,deepseek-v4-flash,1,blackboard,0.5833,0.5833,0.5833,1.0,1.0,0.669,4.0,-7912
t-PROJ-H-03,project,high_coupling,deepseek-v4-flash,2,blackboard,0.5833,0.5833,0.5833,1.0,1.0,1.0721,4.0,945
t-PROJ-H-03,project,high_coupling,deepseek-v4-flash,0,concat,0.5833,0.5833,0.5833,1.0,1.0,1.4898,4.0,5558
t-PROJ-H-03,project,high_coupling,deepseek-v4-flash,1,concat,0.5833,0.5833,0.375,0.6429,0.6429,0.6773,4.0,-7712
